브랜드,의류코드,리뷰,별점,작성일
브랜디드,1552753,다리가 상당히 길어보입니다. 가을에 이것만 땡겨입겠습ㄴ둥~ 아 밑위가 좀 짧아요,5,21.09.11
브랜디드,1552753,"아우 예뻐용 홍홍
말라서 30이랑 32 고민 많이 됐는데
32 입어도 예뿌네용",5,20.12.15
브랜디드,1552753,"여자후기 없어서 고민 많이 하다가 그냥 샀는데 핏이랑 색감 다 맘에 드네요 길다고 롤업하는 것보다 그냥 이러고
다니는 게 예쁜듯",5,21.10.27
브랜디드,1552753,"사이즈는 정사이즈 가시면 될 것 같아요
일직선으로 떨어지는 스트레이트 핏이 이쁩니다.
워싱은 1981이 나은거같아요",5,20.09.25
브랜디드,1552753,"사이즈는 정사이즈 가시면 될 것 같아요
일직선으로 떨어지는 스트레이트 핏이 이쁩니다.
워싱은 1981이 나은거같아요",5,20.09.25
브랜디드,1552753,튼실한 제 빵댕이도 견딜줄 몰랐습니다. 강추합니다,5,22.03.06
브랜디드,1552753,"(자켓 mmgl 협찬, 신발 로스트가든 협찬입니다)

진짜 이 바지가 블프기간 3만원이라니... 미쳤습니다 그냥.....더보기",5,20.12.01
브랜디드,1552753,바지가 너무 이쁘네요 잘입고 댕기겠슴니다요들~,5,22.02.22
브랜디드,1552753,키가 작아서 잘 소화못햇네요 그래두 바지는 이쁩니다 흡,4,20.10.01
브랜디드,1552753,"너무이뻐요 히말라야샀다가 브랜디드에 빠져서 중청 크림진 그리고 결국 흑청까지 샀네요 4개 무한대로
돌려입어야지ㅋㅎ",5,20.10.24
