Review,Rating,Date
데가 많이 뚱뚱한편이라... 사실 어울리는지 안어울리는지는 잘 모르겠는데 나쁘지는 않은거같아요,5,20.12.02
"I LOVE these jeans! I've never had wide jeans before, but they're comfy and they look very stylish with my aesthetic!
I'm someone who loves retro looks, so this is exactly what I needed in my wardrobe. It looks nice with tucked in t-shirts or as a baggy set.",5,22.03.16
"확실히 엄청 큽니다
색상은 사진에 비해 생각보다 연해요
입다가 여름에 박시하게 반바지로 리폼 예정 ~",4,22.01.29
저는 길이도 딱 맞고 허리도 너무 불편하지 않게 딱 맞았던 것 같아요! 확실히 발목은 정말 크긴 한데 오히려 그래서 발목이 시원하니 좋았습니다 :) 이미 다른 색으로 재구매도 끝낸 상태에요! 제 몸에 인터넷으로 바지를 산다는 건 상상도 못했는데 무신사랑해 ~~~,5,22.04.04
저는 길이도 딱 맞고 허리도 너무 불편하지 않게 딱 맞았던 것 같아요! 확실히 발목은 정말 크긴 한데 오히려 그래서 발목이 시원하니 좋았습니다 :) 이미 다른 색으로 재구매도 끝낸 상태에요! 제 몸에 인터넷으로 바지를 산다는 건 상상도 못했는데 무신사랑해 ~~~,5,22.04.04
"넘모 이뻐서 첨으로 자세하게 써봄
롤업해도 이쁘고 안해도 이쁜데 저는 한게 더 귀여워서 하고 다닐 듯
보시다시피 정면에서 보다는 살짝 옆으로 봤을때랑 옆에서 봤을때 핏이 개이쁨요
그리고 꽤나 앏은 편이라서 더위를 잘 안타는 저는 여름에도 쌉가능
그리고 음 또 뭐가있지
어쨋든 개이쁨

아 그리고 수선 안했고여
다리는 짧은 편인거같은데 잘 모르겠어요
다리가 좀 더 길었으면 좋겠다라는 마음은 있음
덩크 기준으로 롤업 안해도 안 끌림
컨버스 신으면 질질 끌고 다닐듯

그리고 또 뭐가있지 토피 S보다 훨씬 와이드함

또..음..여기까지...일하러감요..",5,21.03.12
"와이드 팬츠를 살 계획이시면 그냥 이거 사시면 됩니다.
와이드 팬츠라 살짝 크게 나온 것 같긴 합니다.",5,20.11.20
"좋습니다 이 정도퀄리티면 굳굳
재구매 의사 있습니다",5,21.03.26
바지 핏이 너무 이뻐요 너무 만족하면서 일주일에 3번은 입는거 같아요,5,21.03.01
"기장: 살짝 긴편이라 올려입고 굽 낮은 신발들(반스) 신으면 땅에 끌릴 수 있음
색감: 매우만족, 세탁 1번했는데 생각보다 색이 많이 빠짐. 근데 매우 이쁜 연청데님이 돼서 만족해서 입는중
핏: 사실 밑단이 다른 와이드데님보다 크게나온 것 때문에 구매했고 매우만족중
여자친구:",5,21.03.27
배에 구백겹살 있어서 40 샀다가 살빠져서 38로 내려왔어요 여자 38 첨보시나요? 실존합니다 점점 하락하능걸 목표로.. 같은 바지만 사이즈별로 사는 개 아닑까 싶은..^^ 그치만 무신사 청바지 넘 조오ㅓ요 우하하,5,22.06.02
사이즈 딱 좋아요. 밑위도 길어서 살짝 올려입어서 다리도 길어보이고 와이드핏도 넉넉해서 좋네요. 잘 활용할 수 있을 것 같아요.,5,20.11.12
와이드도 원하는 핏으로 잘나왔고 가격도 나쁘지않아 만족합니다,5,21.12.29
어우 핏도좋고 원단감좋고 가격착하고 가성비도좋아요,5,21.01.28
"청 색깔 예뻐요
어디든 잘 입을것 같어요!
허리가 좀 근데 줄여서 입으면 딱 맞을것 같고
엉덩이나 허벅지 널널한거 좋아해서 
크게 잘 산것 같아요!",5,21.02.03
"청 색깔 예뻐요
어디든 잘 입을것 같어요!
허리가 좀 근데 줄여서 입으면 딱 맞을것 같고
엉덩이나 허벅지 널널한거 좋아해서 
크게 잘 산것 같아요!",5,21.02.03
사이즈 딱 맞아떨어져요 보통 추리닝바지도 32입는데 잘맞이요 길이는모... 원래 뭐든수선해서 입을수밖에 없으니까 마음에드ㅁ니당,5,21.04.14
